Char,Frequency
A,3.54
B,3.16
C,1.89
D,1.8
E,3.83
F,4.45
G,3.21
H,3.27
I,3.7
J,2.47
K,3.59
L,3.44
M,3.91
N,1.93
O,2.3
P,2.27
Q,2.14
R,2.53
S,3.32
T,3.8
U,3.19
V,4.05
W,3.38
X,3.32
Y,1.83
Z,3.26
